id,name,x86_64-linux,aarch64-linux,aarch64-darwin
haskellPackages.llvm-tf,,,340250978
haskellPackages.memcache,,,340251460
haskellPackages.memzero,,,340251491
haskellPackages.minici,,,340251662
haskellPackages.miso-examples,340251706,340251702,
haskellPackages.network-can,,,340252453
haskellPackages.nix-serve-ng,,340253304,340252718
haskellPackages.om-time,,,340252929
haskellPackages.pdftotext,340253589,340253594,340253587
haskellPackages.perceptual-hash,,,340253658
haskellPackages.persistent-pagination,,,340253632
haskellPackages.ping-wrapper,,,340253733
haskellPackages.pipes-zlib,,,340253824
haskellPackages.posix-socket,,,340254060
haskellPackages.posix-timer,,,340254038
haskellPackages.posix-waitpid,,,340254044
haskellPackages.pthread,,,340254558
haskellPackages.rawfilepath,,,340254934
haskellPackages.rdtsc-enolan,,340254949,340254950
haskellPackages.rdtsc,,340254947,340254945
haskellPackages.sdl2-cairo,,,340255861
haskellPackages.sdl2-mixer,340255898,340255892,
haskellPackages.select,,,340255905
haskellPackages.sha256,,,340256239
haskellPackages.simdutf,,340256425,
haskellPackages.socket,,,340256767
haskellPackages.store,,,340257224
haskellPackages.system-linux-proc,,,340257667
haskellPackages.tailfile-hinotify,,,340257757
haskellPackages.termbox-bindings-c,,,340258015
haskellPackages.timeout-snooze,,,340258494
haskellPackages.trexio-hs,,,340716923
haskellPackages.vulkan-utils,340259714,,
haskellPackages.wai-middleware-metrics,,,340259813
haskellPackages.xgboost-haskell,340260262,,
haskellPackages.xls,,,340260279
haskellPackages.xmonad-utils,,,340260346
haskellPackages.zlib-bytes,,,340260742
haskellPackages.zot,,,340260753
hdate,,,340260921
hekatomb,340261074,340261068,340261104
hexagonrpc,,,340424033
hgrep,,340261253,
highlight-assertions,340261306,340261305,
hime,340261351,340261350,
home-assistant-custom-components.oref_alert,340895107,340895119,
hsd,,,340262010
httpstat,340262138,340262140,340262139
hyper8,340262733,340262732,
hyprlandPlugins.hyprgrass,340764362,340764361,
hyprlandPlugins.hyprspace,340764386,340764365,
hyprlandPlugins.hyprsplit,340764366,340764385,
hyprlandPlugins.imgborders,340764387,340764375,
hyprproxlock,,,340263296
icesprog,,,340263548
iconpack-jade,340263617,340263613,
id3,,,340263677
idrisPackages.eternal,,,340263788
idrisPackages.mhd,,,340263868
idrisPackages.pacman,,,340263875
imageworsener,340264129,340264128,340264127
imgp,340264181,340264182,340264184
indilib,,,340264393
infisicalsdk,340264420,340264418,340264419
inspircd,,,340264575
intel-graphics-compiler,,340264616,
intelli-shell,,,340264626
intensity-normalization,340264635,340264637,340264643
invoice2data,340264704,340264705,340264706
ioquake3,,,340694058
irrd,340265375,340265313,
j2lint,340265249,340265247,340265248
jami,340265359,340265374,
jarl,,,340265371
jaspr_cli,340764392,340764393,
jasterix,,,340265381
jbofihe,,,340265527
jenkins-job-builder,340895168,340895167,340895169
jetuml,,,340265695
jj-pre-push,,,340266145
jogger,340265866,340265865,
julia_110,,,340266255
julia_111,,,340266264
junkie,,,340266307
kanagawa-icon-theme,,,340266600
karakeep,,340899326,
kdePackages.kdev-python,340753633,340753650,
kdePackages.qtwebengine,,,340267902
keeperrl,340268017,,
ketch,,,340268062
kgt,,,340268182
kilo,340891047,340891046,340891048
kind2,340268283,340268282,
kodiPackages.plex-for-kodi,,,340268620
kopuz,,,340880914
kord,340268831,340268830,
kore,,,340268834
kube-hunter,340269035,340269030,340269044
kubectl-kcl,340269106,340269107,340269105
kuro,,,340269359
ladybugdb,,,340269450
landrun,,340269495,
lanraragi,,,340899339
lcm,,,340269690
lean,,,340269783
lean3,,,340269790
