id,name,x86_64-linux,aarch64-linux,aarch64-darwin
git-jump,324470296,324470293,324470292
git-together,,,324470499
gitbeaker-cli,,324470610,
gitlab-duo,325179637,325179638,
gitlab-elasticsearch-indexer,,,324470732
glances,,324470935,
glpaper,324471109,324471106,
gluesql,324471150,324471147,324471146
gmu,324471227,324471225,324471226
gnat15Packages.gnatprove,,324471497,
gnome-desktop,,,324471538
gnss-sdr,324471792,324471809,
gnubg,324474060,324474057,
gnudatalanguage,,325251702,
gnuradioPackages.fosphor,324474176,324474175,
go-away,325297196,325297194,325297195
gomarkdoc,324475096,324475095,324475094
google-amber,324475181,324475174,
goose-cli,324475232,324475230,324475229
gopher,324475267,324475266,
gophernotes,324475276,324475275,324475274
gossip,324475410,324475401,324475398
goxlr-utility,,,324475567
gplates,325256825,325256826,
gpsprune,324475696,324475693,324475694
gpt4all,324475701,324475700,
gputils,324475735,324475733,
gpx,324475739,324475738,324475737
gradm,,324475841,
grafx2,,,324476030
graphia,324476087,,
greed,324476270,324476265,
greenbone-feed-sync,,,324476273
gridtracker2,,,325097512
grip-search,324476365,324476363,324476362
grive2,324476375,324476371,
groestlcoind,324476396,324476393,324476392
gromacsPlumed,324476425,324476424,
gst123,324476631,324476634,
gtk-frdp,,,325251734
gtkgnutella,324476788,324476787,
gtkradiant,324476841,324476848,
guile-git,,,324476969
gummi,324477103,324477101,
gupnp-tools,324477135,324477134,324477130
gurk-rs,,,325032487
gvisor,324477160,324477159,
halide,324477393,,
handlr-regex,,,324477441
hash_extender,,,324477545
hashcash,,,324477549
haskellPackages.AppleScript,,,324477806
haskellPackages.GOST34112012-Hash,,324478148,324478147
haskellPackages.HsHTSLib,,,324478359
haskellPackages.aoc,,,324481060
haskellPackages.avif,324481583,324481573,
haskellPackages.botan-low,,324482461,
haskellPackages.bytestring-encoding,,,324482741
haskellPackages.copilot-c99,,,324484270
haskellPackages.diagrams-pandoc,,324485448,
haskellPackages.epub-metadata,,,324486468
haskellPackages.error-codes,,,324486492
haskellPackages.executable-hash,,,324486660
haskellPackages.exinst-base,,,324486670
haskellPackages.flatcv,324487131,324487148,
haskellPackages.freetype2,,324487405,324487407
haskellPackages.genvalidity-dirforest,,,324487869
haskellPackages.gi-gdkx113,,,324488345
haskellPackages.gi-gdkx114,,,324488377
haskellPackages.gi-gtkosxapplication,,,324488404
haskellPackages.gi-soup3,,,324488466
haskellPackages.gtk-mac-integration,,,324489662
haskellPackages.gtk-traymanager,,,324489682
haskellPackages.gtk3-mac-integration,,,324489694
haskellPackages.hamid,,,324489903
haskellPackages.haskell-igraph,,324490129,324490114
haskellPackages.hdf5-lite,324490360,324490361,
haskellPackages.heftia-effects,,,324490448
haskellPackages.heystone,324490606,324490604,
haskellPackages.highlight,,,324490667
haskellPackages.hlibgit2,,324490775,
haskellPackages.huckleberry,,,324491921
haskellPackages.hunspell-hs,,,324491955
haskellPackages.hw-json-simd,,324491971,324491977
haskellPackages.implicit,,,324492269
haskellPackages.inline-r,,,325256851
haskellPackages.kqueue,,,324493230
haskellPackages.libtorch-ffi,,,324493787
haskellPackages.llvm-tf,,,324494072
haskellPackages.memcache,,,324494677
haskellPackages.memzero,,,324494715
haskellPackages.minici,,,324494932
haskellPackages.network-can,,,324495964
haskellPackages.nfc,324496128,324496126,
haskellPackages.om-time,,,324496593
haskellPackages.persistent-pagination,,,324497513
haskellPackages.ping-wrapper,,,324497645
haskellPackages.pipes-zlib,,,324497757
haskellPackages.posix-socket,,,324498088
haskellPackages.posix-timer,,,324498062
haskellPackages.posix-waitpid,,,324498063
haskellPackages.primecount,324498417,324498416,324498425
haskellPackages.pthread,,,324498731
haskellPackages.rawfilepath,,,324499192
haskellPackages.rdtsc-enolan,,324499222,324499221
haskellPackages.rdtsc,,324499214,324499212
haskellPackages.re2,324499228,324499224,
haskellPackages.regex-rure,324499588,324499581,
haskellPackages.sdl2-cairo,,,324500366
haskellPackages.select,,,324500415
haskellPackages.sha256,,,324500862
haskellPackages.simdutf,,324501105,
haskellPackages.socket,,,324501559
haskellPackages.store,,,324502160
haskellPackages.system-linux-proc,,,324502722
haskellPackages.tailfile-hinotify,,,324502840
haskellPackages.tailwind,324502854,324502896,324502844
haskellPackages.termbox-bindings-c,,,324503184
haskellPackages.timeout-snooze,,,324503822
haskellPackages.trexio-hs,,,325188328
haskellPackages.wai-middleware-metrics,,,324505558
haskellPackages.xls,,,324506129
haskellPackages.xmonad-utils,,,324506223
haskellPackages.zlib-bytes,,,324506726
haskellPackages.zot,,,324506749
hdate,,,324506927
hexagonrpc,,,324507231
hexcurse,324507247,324507250,
hgrep,,324507319,
hime,324507436,324507432,
hof,324507585,324507581,
home-assistant-custom-components.yandex-station,325245431,325245435,
honeycomb-refinery,,325300643,
hors,324508018,324508020,
hpp2plantuml,324508115,324508116,324508114
hsd,,,324508134
ht,324508162,324508160,
httperf,324508283,324508282,
httplz,324508326,324508304,324508305
hubicfuse,324508373,324508368,
hygg,,,324509066
hyprlandPlugins.borders-plus-plus,325312449,325312445,
hyprlandPlugins.csgo-vulkan-fix,325312454,325312469,
hyprlandPlugins.hyprbars,325312444,325312466,
